Date,Timestamp,Open,High,Low,Close,Volume
2020-09-14,00:00:00,1.18404,1.1888,1.18319,1.18643,888023.24330648
2020-09-15,00:00:00,1.18648,1.19005,1.18395,1.18462,889556.008832291
2020-09-16,00:00:00,1.18465,1.18825,1.17876,1.18155,999318.674137175
2020-09-17,00:00:00,1.18156,1.18524,1.17373,1.18477,1396941.41540174
2020-09-18,00:00:00,1.18476,1.18705,1.1826,1.18385,1098599.23300553
2020-09-21,00:00:00,1.18369,1.18717,1.17317,1.17707,1326884.44261262
2020-09-22,00:00:00,1.17707,1.17735,1.16916,1.17077,1025213.64729235
2020-09-23,00:00:00,1.17074,1.17188,1.16513,1.16595,1081733.57101856
2020-09-24,00:00:00,1.1659,1.16869,1.16265,1.16708,1085492.73429121
2020-09-25,00:00:00,1.16706,1.1685,1.16121,1.16277,993353.684841374
2020-09-28,00:00:00,1.16271,1.16799,1.1615,1.1665,1022732.44472693
2020-09-29,00:00:00,1.1665,1.17455,1.16614,1.17426,980638.707626693
2020-09-30,00:00:00,1.1743,1.17548,1.16847,1.1721,1341208.06848842
2020-10-01,00:00:00,1.1721,1.17696,1.17171,1.1746,1321574.37351908
2020-10-02,00:00:00,1.17489,1.17489,1.16956,1.17157,1400393.58635166
2020-10-05,00:00:00,1.1711,1.17975,1.17053,1.17825,1043070.41456527
2020-10-06,00:00:00,1.17825,1.18077,1.17317,1.17334,1202139.64851364
2020-10-07,00:00:00,1.17335,1.17818,1.17249,1.17604,1195938.12784315
2020-10-08,00:00:00,1.176,1.17816,1.17326,1.17582,1112217.70463163
2020-10-09,00:00:00,1.17587,1.1831,1.17568,1.18248,1054360.15755249
2020-10-12,00:00:00,1.18103,1.18266,1.17867,1.1812,959558.478428431
2020-10-13,00:00:00,1.1812,1.18155,1.17304,1.1744,1191270.31585732
2020-10-14,00:00:00,1.17452,1.1771,1.17199,1.17452,1146763.68487576
2020-10-15,00:00:00,1.17452,1.17578,1.16884,1.17073,1052065.1883
2020-10-16,00:00:00,1.17073,1.17462,1.16939,1.17132,952925.313935079
2020-10-19,00:00:00,1.17181,1.17936,1.17031,1.17695,682296.694125291
2020-10-20,00:00:00,1.17695,1.18407,1.17598,1.18211,799622.3125467
2020-10-21,00:00:00,1.18214,1.18807,1.18209,1.18598,949038.416637115
2020-10-22,00:00:00,1.18569,1.18668,1.18114,1.18177,932813.080341317
2020-10-23,00:00:00,1.18177,1.18648,1.17866,1.18572,904441.488237842
2020-10-25,00:00:00,1.18546,1.18568,1.18515,1.18558,963.167479582131
2020-10-26,00:00:00,1.18569,1.18605,1.18032,1.18091,839321.637102034
2020-10-27,00:00:00,1.1808,1.18387,1.17829,1.17871,792571.32489612
2020-10-28,00:00:00,1.17871,1.17879,1.17178,1.17455,1060494.77998358
2020-10-29,00:00:00,1.17451,1.17587,1.16501,1.16741,781323.539501026
2020-10-30,00:00:00,1.1674,1.17042,1.164,1.16431,916025.017607242
2020-11-02,00:00:00,1.16498,1.16557,1.16221,1.16404,825009.728425466
2020-11-03,00:00:00,1.16404,1.17397,1.16318,1.1715,652729.064393893
2020-11-04,00:00:00,1.1715,1.17704,1.16026,1.17244,1304116.27703997
2020-11-05,00:00:00,1.17251,1.18596,1.17107,1.18268,953757.504549026
2020-11-06,00:00:00,1.18268,1.18908,1.17952,1.187,512782.151014691
2020-11-09,00:00:00,1.18898,1.19199,1.17952,1.18127,698296.306710625
2020-11-10,00:00:00,1.18124,1.18432,1.17799,1.18127,628651.967740222
2020-11-11,00:00:00,1.18127,1.18327,1.17454,1.17771,427459.865341954
2020-11-12,00:00:00,1.17771,1.18231,1.17585,1.18041,452031.209230881
2020-11-13,00:00:00,1.18039,1.18374,1.17989,1.1831,383459.32156416
2020-11-16,00:00:00,1.18411,1.18689,1.18141,1.18516,392229.968995906
2020-11-17,00:00:00,1.18509,1.18937,1.18425,1.18612,337998.864839852
2020-11-18,00:00:00,1.18607,1.18908,1.18491,1.18526,358563.173468305
2020-11-19,00:00:00,1.18526,1.18825,1.18161,1.18745,412653.654111579
2020-11-20,00:00:00,1.18745,1.18908,1.18498,1.18544,393869.047483196
2020-11-23,00:00:00,1.18538,1.1906,1.17997,1.18399,373709.31546966
2020-11-24,00:00:00,1.18399,1.18961,1.18361,1.18905,453267.329622418
2020-11-25,00:00:00,1.18922,1.19297,1.18818,1.19157,438592.505532093
